Change Component Designator: OldDesignator=J3 NewDesignator=J2
Change Component Designator: OldDesignator=J4 NewDesignator=J3
Change Component Designator: OldDesignator=J5 NewDesignator=J4
Change Component Designator: OldDesignator=J6 NewDesignator=J5
Change Component Designator: OldDesignator=Q1 NewDesignator=Q13
Change Component Designator: OldDesignator=R1 NewDesignator=R14
Change Component Designator: OldDesignator=R15 NewDesignator=R16
Change Component Designator: OldDesignator=R16 NewDesignator=R15
Change Component Designator: OldDesignator=U5 NewDesignator=U4
Change component parameters: Designator = "D1" ("D1"); Footprint = "FP-SMB-MFG"; UniqueID = "\FECMCKHB" ("\FECMCKHB")
Add component (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "115mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "115mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Breakdown Voltage"; Value = "70V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Resistance"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dual Supply Voltage"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fall Time"; Value = "5.6ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate to Source Voltage (Vgs)"; Value = "20V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Capacitance"; Value = "50pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "2.9mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "150¢XC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "300mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55¢XC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Nominal Vgs"; Value = "2.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "On-State Resistance"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "3000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "540mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rds On Max"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rise Time"; Value = "3ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Threshold Voltage"; Value = "2.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-Off Delay Time"; Value = "11ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-On Delay Time"; Value = "7ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.000282oz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "1.3mm"; VariantName = "[No Variations]"
Added Component: Designator=Q2(FP-SOT23-MFG)
Add component (AddParameter): Name = "Case/Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "115mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "115mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Breakdown Voltage"; Value = "70V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Resistance"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dual Supply Voltage"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fall Time"; Value = "5.6ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate to Source Voltage (Vgs)"; Value = "20V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Capacitance"; Value = "50pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "2.9mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "150¢XC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "300mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55¢XC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Nominal Vgs"; Value = "2.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "On-State Resistance"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "3000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "540mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rds On Max"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rise Time"; Value = "3ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Threshold Voltage"; Value = "2.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-Off Delay Time"; Value = "11ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-On Delay Time"; Value = "7ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.000282oz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "1.3mm"; VariantName = "[No Variations]"
Added Component: Designator=Q3(FP-SOT23-MFG)
Add component (AddParameter): Name = "Case/Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "115mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "115mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Breakdown Voltage"; Value = "70V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Resistance"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dual Supply Voltage"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fall Time"; Value = "5.6ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate to Source Voltage (Vgs)"; Value = "20V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Capacitance"; Value = "50pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "2.9mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "150¢XC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "300mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55¢XC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Nominal Vgs"; Value = "2.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "On-State Resistance"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "3000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "540mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rds On Max"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rise Time"; Value = "3ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Threshold Voltage"; Value = "2.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-Off Delay Time"; Value = "11ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-On Delay Time"; Value = "7ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.000282oz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "1.3mm"; VariantName = "[No Variations]"
Added Component: Designator=Q4(FP-SOT23-MFG)
Add component (AddParameter): Name = "Case/Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "115mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "115mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Breakdown Voltage"; Value = "70V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Resistance"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dual Supply Voltage"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fall Time"; Value = "5.6ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate to Source Voltage (Vgs)"; Value = "20V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Capacitance"; Value = "50pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "2.9mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "150¢XC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "300mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55¢XC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Nominal Vgs"; Value = "2.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "On-State Resistance"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "3000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "540mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rds On Max"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rise Time"; Value = "3ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Threshold Voltage"; Value = "2.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-Off Delay Time"; Value = "11ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-On Delay Time"; Value = "7ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.000282oz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "1.3mm"; VariantName = "[No Variations]"
Added Component: Designator=Q5(FP-SOT23-MFG)
Add component (AddParameter): Name = "Case/Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "115mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "115mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Breakdown Voltage"; Value = "70V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Resistance"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dual Supply Voltage"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fall Time"; Value = "5.6ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate to Source Voltage (Vgs)"; Value = "20V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Capacitance"; Value = "50pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "2.9mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "150¢XC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "300mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55¢XC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Nominal Vgs"; Value = "2.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "On-State Resistance"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "3000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "540mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rds On Max"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rise Time"; Value = "3ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Threshold Voltage"; Value = "2.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-Off Delay Time"; Value = "11ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-On Delay Time"; Value = "7ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.000282oz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "1.3mm"; VariantName = "[No Variations]"
Added Component: Designator=Q6(FP-SOT23-MFG)
Add component (AddParameter): Name = "Case/Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "115mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "115mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Breakdown Voltage"; Value = "70V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Resistance"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dual Supply Voltage"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fall Time"; Value = "5.6ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate to Source Voltage (Vgs)"; Value = "20V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Capacitance"; Value = "50pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "2.9mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "150¢XC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "300mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55¢XC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Nominal Vgs"; Value = "2.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "On-State Resistance"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "3000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "540mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rds On Max"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rise Time"; Value = "3ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Threshold Voltage"; Value = "2.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-Off Delay Time"; Value = "11ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-On Delay Time"; Value = "7ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.000282oz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "1.3mm"; VariantName = "[No Variations]"
Added Component: Designator=Q7(FP-SOT23-MFG)
Add component (AddParameter): Name = "Case/Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "115mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "115mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Breakdown Voltage"; Value = "70V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Resistance"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dual Supply Voltage"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fall Time"; Value = "5.6ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate to Source Voltage (Vgs)"; Value = "20V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Capacitance"; Value = "50pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "2.9mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "150¢XC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "300mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55¢XC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Nominal Vgs"; Value = "2.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "On-State Resistance"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "3000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "540mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rds On Max"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rise Time"; Value = "3ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Threshold Voltage"; Value = "2.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-Off Delay Time"; Value = "11ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-On Delay Time"; Value = "7ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.000282oz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "1.3mm"; VariantName = "[No Variations]"
Added Component: Designator=Q8(FP-SOT23-MFG)
Add component (AddParameter): Name = "Case/Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "115mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "115mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Breakdown Voltage"; Value = "70V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Resistance"; Value = "7.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dual Supply Voltage"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fall Time"; Value = "5.6ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate to Source Voltage (Vgs)"; Value = "20V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Capacitance"; Value = "50pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "2.9mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "150¢XC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "300mW"; VariantName = "[No Variations]"
